"","x"
"85","(data$flow_graph+data$total_operands)*(data$line_code_and_comment-data$line_blank)"
"86","(data$flow_graph+data$total_operands)*(data$unique_operands-data$line_comment)"
"87","_baseline_"
"88","MC_design"
"89","MC_line_count"
"90","unique_operands"
"91","source.4"
"92","_baseline_"
"93","unique_operators"
"94","total_operators"
"95","line_blank"
"96","MC_line_count"
"97","line_comment"
"98","total_operands"
"99","_baseline_"
"100","MC_design"
"101","unique_operands"
"102","total_operators"
"103","total_operands"
"104","line_blank"
"105","source.4"
"106","line_code_and_comment"
"107","_full_model_"
"108","line_code"
"109","_baseline_"
"110","(data$unique_operands)*(data$total_operators)*(data$flow_graph)"
"111","(data$line_code)*(data$line_comment)*(data$flow_graph)"
"112","total_operands"
"113","(data$line_comment)*(data$unique_operators)*(data$total_operators)"
"114","(data$line_code)*(data$unique_operators)*(data$unique_operands)"
"115","(data$line_blank)*(data$total_operators)*(data$flow_graph)"
"116","total_operators"
"117","MC_line_count"
"118","_baseline_"
"119","(data$line_blank)*(data$total_operands)-(data$total_operators)"
"120","(data$line_comment)*(data$flow_graph)-(data$total_operands)"
"121","MC_line_count"
"122","(data$line_code)*(data$line_blank)+(data$unique_operators)"
"123","MC_line_count"
"124","_baseline_"
"125","MC_design"
"126","(data$line_comment)/(data$flow_graph)*(data$line_blank)"
"127","line_blank"
"128","MC_cyclomatic"
"129","MC_essential"
"130","_baseline_"
"131","MC_line_count"
"132","(data$line_code)/(data$flow_graph)-(data$line_blank)"
"133","(data$line_comment)/(data$flow_graph)-(data$unique_operands)"
"134","(data$unique_operands)/(data$flow_graph)-(data$line_code_and_comment)"
"135","total_operands"
"136","line_code"
"137","(data$line_code)/(data$flow_graph)+(data$total_operators)"
"138","MC_design"
"139","flow_graph"
"140","(data$unique_operators)+(data$total_operators)/(data$flow_graph)"
"141","_baseline_"
"142","(data$unique_operands)+(data$line_code)*(data$unique_operators)"
"143","MC_line_count"
"144","(data$line_comment)+(data$unique_operands)/(data$flow_graph)"
"145","(data$line_blank)+(data$line_code_and_comment)+(data$total_operators)"
"146","(data$line_code)+(data$line_comment)-(data$flow_graph)"
"147","(data$line_code)+(data$total_operands)+(data$flow_graph)"
"148","(data$line_blank)+(data$total_operators)-(data$unique_operators)"
"149","(data$line_code)+(data$line_code_and_comment)-(data$unique_operands)"
"150","(data$line_blank)+(data$unique_operands)-(data$line_code)"
"151","total_operators"
"152","MC_line_count"
"153","(data$line_code_and_comment)+(data$unique_operands)-(data$total_operators)"
"154","MC_design"
"155","MC_line_count"
"156","(data$flow_graph)+(data$line_comment)-(data$unique_operators)"
"157","_baseline_"
"158","(data$total_operators)-(data$line_blank)*(data$total_operands)"
"159","(data$flow_graph)+(data$unique_operands)-(data$total_operands)"
"160","(data$total_operands)-(data$line_code_and_comment)*(data$unique_operands)"
"161","_baseline_"
"162","MC_line_count"
"163","(data$unique_operators)-(data$line_blank)-(data$flow_graph)"
"164","source.2"
"165","(data$unique_operands)-(data$line_blank)+(data$flow_graph)"
"166","(data$unique_operators)-(data$total_operators)+(data$total_operands)"
"167","(data$unique_operators)-(data$line_comment)-(data$flow_graph)"
"168","MC_line_count"
"169","(data$flow_graph)-(data$line_comment)-(data$unique_operands)"
"170","MC_essential"
"171","(data$total_operands)-(data$total_operators)-(data$unique_operands)"
"172","_baseline_"
"173","_baseline_"
"174","MC_design"
"175","line_comment"
"176","line_blank"
"177","MC_line_count"
"178","unique_operands"
"179","total_operators"
"180","total_operands"
"181","line_blank"
"182","line_comment"
"183","_full_model_"
"184","MC_cyclomatic"
"185","MC_essential"
"186","line_code"
"187","line_code_and_comment"
"188","unique_operators"
"189","total_operators"
"190","flow_graph"
"191","_baseline_"
"192","(1/data$flow_graph)/(1/data$line_code)*(data$line_blank)"
"193","unique_operands"
"194","MC_line_count"
"195","MC_design"
"196","line_comment"
"197","(1/data$flow_graph)/(1/data$line_comment)*(data$line_blank)"
"198","_baseline_"
"199","MC_line_count"
"200","(1/data$flow_graph)/(1/data$line_code)-(data$line_blank)"
"201","MC_design"
"202","(1/data$flow_graph)/(1/data$line_comment)-(data$total_operands)"
"203","_baseline_"
"204","(1/data$flow_graph)/(1/data$total_operators)-(data$line_code_and_comment)"
"205","MC_line_count"
"206","MC_essential"
"207","MC_design"
"208","(1/data$flow_graph)/(1/data$total_operators)-(data$line_comment)"
"209","(1/data$flow_graph)/(1/data$unique_operators)-(data$line_code)"
"210","(1/data$flow_graph)/(1/data$total_operands)-(data$unique_operands)"
"211","total_operators"
"212","MC_design"
"213","source.4"
"214","MC_cyclomatic"
"215","_full_model_"
"216","MC_essential"
"217","line_code"
"218","line_comment"
"219","line_blank"
"220","line_code_and_comment"
"221","_baseline_"
"222","MC_line_count"
"223","MC_design"
"224","unique_operands"
"225","line_comment"
"226","MC_line_count"
"227","_baseline_"
"228","total_operands"
"229","MC_design"
"230","line_blank"
"231","unique_operands"
"232","line_code"
"233","line_comment"
"234","MC_line_count"
"235","MC_design"
"236","line_comment"
"237","unique_operands"
"238","total_operators"
"239","line_blank"
"240","(1/data$flow_graph)*(data$line_code)/(1/data$line_blank)"
"241","MC_line_count"
"242","_baseline_"
"243","unique_operands"
"244","(1/data$flow_graph)*(data$line_comment)/(1/data$line_blank)"
"245","_baseline_"
"246","(1/data$flow_graph)*(data$total_operands)/(1/data$unique_operators)"
"247","MC_design"
"248","MC_line_count"
"249","unique_operands"
"250","_baseline_"
"251","MC_line_count"
"252","line_code_and_comment"
"253","line_blank"
"254","unique_operands"
"255","line_comment"
"256","MC_design"
"257","_full_model_"
"258","MC_cyclomatic"
"259","line_blank"
"260","MC_line_count"
"261","MC_design"
"262","total_operands"
"263","line_comment"
"264","_full_model_"
"265","MC_essential"
"266","line_comment"
"267","(1/data$flow_graph)+(data$line_comment)/(1/data$total_operands)"
"268","unique_operands"
"269","(1/data$flow_graph)+(data$line_code)/(1/data$total_operators)"
"270","_full_model_"
"271","MC_cyclomatic"
"272","MC_essential"
"273","MC_design"
"274","line_code"
"275","line_blank"
"276","source.2"
"277","(1/data$flow_graph)+(data$unique_operands)/(1/data$line_code)"
"278","(1/data$flow_graph)+(data$line_blank)/(1/data$unique_operands)"
"279","source.4"
"280","_baseline_"
"281","(1/data$flow_graph)+(data$unique_operators)/(1/data$line_code)"
"282","MC_line_count"
"283","line_comment"
"284","MC_line_count"
"285","MC_cyclomatic"
"286","line_code"
"287","line_code_and_comment"
"288","source.3"
"289","source.4"
"290","_full_model_"
"291","MC_essential"
"292","MC_design"
"293","_baseline_"
"294","MC_line_count"
"295","source.2"
"296","MC_design"
"297","flow_graph"
"298","(1/data$flow_graph)-(data$line_comment)/(1/data$unique_operators)"
"299","(1/data$flow_graph)-(data$total_operators)/(1/data$total_operands)"
"300","(1/data$flow_graph)-(data$line_blank)/(1/data$total_operands)"
"301","_baseline_"
"302","unique_operators"
"303","MC_line_count"
"304","MC_design"
"305","source.2"
"306","line_blank"
"307","unique_operands"
"308","unique_operands"
"309","MC_line_count"
"310","flow_graph"
"311","(1/data$flow_graph)*sqrt(data$line_code)/(1/data$unique_operators)"
"312","(1/data$flow_graph)*sqrt(data$unique_operands)/(1/data$line_code)"
"313","_baseline_"
"314","(1/data$flow_graph)*sqrt(data$line_blank)/(1/data$unique_operands)"
"315","MC_line_count"
"316","_baseline_"
"317","MC_design"
"318","(1/data$flow_graph)*sqrt(data$total_operands)/(1/data$unique_operands)"
"319","line_blank"
"320","(1/data$flow_graph)*sqrt(data$total_operands)/(1/data$line_code)"
"321","total_operands"
"322","MC_cyclomatic"
"323","_baseline_"
"324","line_blank"
"325","line_code"
"326","_full_model_"
"327","MC_line_count"
"328","MC_cyclomatic"
"329","MC_essential"
"330","MC_design"
"331","line_comment"
"332","line_code_and_comment"
"333","source.2"
"334","line_code"
"335","line_blank"
"336","line_comment"
"337","unique_operands"
"338","total_operators"
"339","_full_model_"
"340","MC_cyclomatic"
"341","MC_essential"
"342","MC_design"
"343","_baseline_"
"344","MC_line_count"
"345","total_operators"
"346","(1/data$flow_graph)+sqrt(data$line_code)/(1/data$total_operands)"
"347","(1/data$flow_graph)+sqrt(data$line_code)/(1/data$line_comment)"
"348","(1/data$flow_graph)+sqrt(data$line_code)/(1/data$line_code_and_comment)"
"349","(1/data$flow_graph)+sqrt(data$line_code)/(1/data$unique_operands)"
"350","(1/data$flow_graph)+sqrt(data$unique_operands)/(1/data$line_blank)"
"351","(1/data$flow_graph)+sqrt(data$unique_operators)/(1/data$line_code)"
"352","(1/data$flow_graph)+sqrt(data$line_blank)/(1/data$unique_operands)"
"353","(1/data$flow_graph)+sqrt(data$unique_operators)/(1/data$line_comment)"
"354","MC_line_count"
"355","_baseline_"
"356","(1/data$flow_graph)+sqrt(data$line_blank)/(1/data$total_operators)"
"357","(1/data$flow_graph)+sqrt(data$unique_operands)/(1/data$line_code)"
"358","line_code"
"359","_baseline_"
"360","MC_line_count"
"361","MC_design"
"362","line_blank"
"363","unique_operands"
"364","MC_cyclomatic"
"365","(1/data$flow_graph)-sqrt(data$unique_operators)/(1/data$line_code)"
"366","(1/data$flow_graph)-sqrt(data$line_code)/(1/data$line_blank)"
"367","MC_line_count"
"368","_baseline_"
"369","(1/data$flow_graph)-sqrt(data$line_code)/(1/data$line_comment)"
"370","(1/data$flow_graph)-sqrt(data$total_operators)/(1/data$line_code)"
"371","MC_essential"
"372","(1/data$flow_graph)-sqrt(data$line_blank)/(1/data$unique_operators)"
"373","total_operators"
"374","MC_line_count"
"375","total_operands"
"376","line_code"
"377","_full_model_"
"378","MC_cyclomatic"
"379","MC_essential"
"380","MC_design"
"381","line_comment"
"382","line_code_and_comment"
"383","(data$line_blank-data$line_comment)*(data$unique_operators+data$flow_graph)"
"384","_baseline_"
"385","(data$line_comment-data$total_operators)*(data$line_blank+data$flow_graph)"
"386","(data$line_code-data$line_comment)*(data$line_blank+data$unique_operands)"
"387","(data$line_code-data$line_code_and_comment)*(data$line_blank+data$total_operators)"
"388","(data$line_code-data$total_operators)*(data$line_blank+data$flow_graph)"
"389","(data$line_code-data$unique_operators)*(data$unique_operands+data$total_operands)"
"390","(data$line_code-data$line_comment)*(data$line_blank+data$flow_graph)"
"391","MC_line_count"
"392","_baseline_"
"393","(data$line_code_and_comment-data$unique_operators)*(data$unique_operands+data$flow_graph)"
"394","(data$unique_operands-data$line_code)*(data$line_comment+data$flow_graph)"
"395","(data$unique_operators-data$line_code)*(data$line_comment+data$line_code_and_comment)"
"396","(data$line_code_and_comment-data$line_code)*(data$line_comment+data$total_operands)"
"397","(data$line_code_and_comment-data$line_blank)*(data$line_comment+data$unique_operands)"
"398","(data$line_code_and_comment-data$unique_operands)*(data$line_blank+data$total_operands)"
"399","_baseline_"
"400","MC_essential"
"401","MC_line_count"
"402","MC_design"
"403","(data$flow_graph-data$line_code)*(data$line_blank+data$line_code_and_comment)"
"404","(data$line_code-data$line_code_and_comment)/(data$unique_operators+data$flow_graph)"
"405","(data$line_comment-data$unique_operators)/(data$unique_operands+data$flow_graph)"
"406","MC_line_count"
"407","(data$line_comment-data$unique_operands)/(data$total_operands+data$flow_graph)"
"408","(data$flow_graph-data$total_operands)*(data$line_code_and_comment+data$total_operators)"
"409","(data$line_code-data$line_code_and_comment)/(data$total_operators+data$flow_graph)"
"410","_baseline_"
"411","(data$line_code-data$unique_operands)/(data$line_blank+data$flow_graph)"
"412","(data$line_blank-data$total_operands)/(data$unique_operands+data$flow_graph)"
"413","MC_line_count"
"414","_baseline_"
"415","(data$total_operators-data$line_blank)/(data$line_comment+data$flow_graph)"
"416","_baseline_"
"417","(data$total_operators-data$line_blank)/(data$line_code_and_comment+data$flow_graph)"
"418","(data$total_operators-data$unique_operands)/(data$line_blank+data$flow_graph)"
"419","(data$total_operands-data$unique_operands)/(data$line_blank+data$flow_graph)"
"420","(data$total_operands-data$line_comment)/(data$line_code_and_comment+data$flow_graph)"
"421","(data$total_operands-data$unique_operands)/(data$line_code+data$flow_graph)"
"422","(data$total_operators-data$line_code)/(data$line_comment+data$flow_graph)"
"423","source.2"
"424","_baseline_"
"425","MC_line_count"
"426","source.3"
"427","MC_cyclomatic"
"428","total_operators"
"429","_baseline_"
"430","(data$line_code-data$total_operators)*(data$unique_operators-data$flow_graph)"
"431","MC_line_count"
"432","(data$line_comment-data$flow_graph)*(data$total_operators-data$total_operands)"
"433","(data$line_code-data$line_comment)*(data$line_code_and_comment-data$flow_graph)"
"434","source.4"
"435","(data$line_comment-data$unique_operands)*(data$line_blank-data$flow_graph)"
"436","(data$line_code-data$flow_graph)*(data$line_comment-data$unique_operators)"
"437","MC_line_count"
"438","_baseline_"
"439","(data$unique_operators-data$line_code)*(data$line_comment-data$flow_graph)"
"440","(data$unique_operators-data$line_comment)*(data$line_code-data$flow_graph)"
"441","(data$unique_operators-data$total_operands)*(data$line_code-data$line_comment)"
"442","(data$line_code_and_comment-data$unique_operators)*(data$unique_operands-data$total_operands)"
"443","(data$line_code_and_comment-data$line_blank)*(data$unique_operators-data$unique_operands)"
"444","(data$unique_operators-data$unique_operands)*(data$line_code-data$line_comment)"
"445","_baseline_"
"446","MC_line_count"
"447","(data$unique_operands-data$flow_graph)*(data$total_operands-data$line_code)"
"448","(data$flow_graph-data$line_blank)*(data$line_code-data$unique_operands)"
"449","source.4"
"450","_baseline_"
"451","MC_line_count"
"452","line_blank"
"453","(data$flow_graph-data$total_operands)*(data$line_code_and_comment-data$line_blank)"
"454","line_code"
"455","(data$flow_graph-data$total_operands)*(data$unique_operators-data$line_code)"
"456","(data$flow_graph-data$total_operands)*(data$line_code_and_comment-data$unique_operators)"
"457","total_operators"
"458","(data$flow_graph-data$total_operands)*(data$line_code_and_comment-data$line_comment)"
"459","total_operators"
"460","line_blank"
"461","MC_line_count"
"462","total_operands"
"463","source.2"
"464","line_code"
"465","line_comment"
"466","_full_model_"
"467","MC_cyclomatic"
"468","_baseline_"
"469","MC_line_count"
"470","total_operators"
"471","source.3"
"472","MC_cyclomatic"
"473","_full_model_"
"474","MC_essential"
"475","line_code"
"476","line_blank"
"477","line_code_and_comment"
"478","unique_operators"
"479","_baseline_"
"480","MC_line_count"
"481","total_operators"
"482","line_comment"
"483","source.2"
"484","MC_line_count"
"485","total_operators"
"486","_full_model_"
"487","MC_cyclomatic"
"488","MC_essential"
"489","line_code"
"490","line_code_and_comment"
"491","unique_operators"
"492","flow_graph"
"493","source.1"
"494","_baseline_"
"495","line_code"
"496","total_operands"
"497","line_comment"
"498","_full_model_"
"499","MC_cyclomatic"
"500","MC_essential"
"501","line_code_and_comment"
"502","unique_operators"
"503","flow_graph"
"504","unique_operands"
"505","_baseline_"
"506","MC_design"
"507","(1/data$flow_graph)/(1/data$line_code)/(1/data$line_blank)"
"508","source.4"
"509","(1/data$flow_graph)/(1/data$line_code)/(1/data$total_operands)"
"510","MC_line_count"
"511","MC_cyclomatic"
"512","MC_line_count"
"513","_baseline_"
"514","unique_operators"
"515","MC_design"
"516","(1/data$flow_graph)/(1/data$unique_operands)/(1/data$line_code)"
"517","(1/data$flow_graph)/(1/data$unique_operands)/(1/data$line_blank)"
"518","source.4"
"519","_baseline_"
"520","MC_line_count"
"521","line_code"
"522","total_operators"
"523","source.2"
"524","line_blank"
"525","_full_model_"
"526","MC_cyclomatic"
"527","MC_essential"
"528","_baseline_"
"529","MC_design"
"530","MC_line_count"
"531","line_blank"
"532","unique_operands"
"533","total_operands"
"534","line_blank"
"535","MC_line_count"
"536","MC_design"
"537","unique_operands"
"538","_baseline_"
"539","total_operators"
"540","total_operands"
"541","MC_cyclomatic"
"542","MC_design"
"543","unique_operands"
"544","MC_line_count"
"545","line_code"
"546","line_code_and_comment"
"547","MC_essential"
"548","_baseline_"
"549","_full_model_"
"550","line_comment"
"551","line_blank"
"552","MC_line_count"
"553","_baseline_"
"554","MC_design"
"555","line_blank"
"556","unique_operands"
"557","MC_cyclomatic"
"558","_baseline_"
"559","MC_line_count"
"560","MC_design"
"561","MC_cyclomatic"
"562","total_operators"
"563","MC_essential"
"564","source.2"
"565","(1/data$flow_graph)*(data$unique_operators)+(data$line_comment)"
"566","(1/data$flow_graph)*(data$unique_operators)-(data$line_blank)"
"567","source.4"
"568","(1/data$flow_graph)*(data$line_code)+(data$total_operators)"
"569","(1/data$flow_graph)*(data$unique_operators)-(data$line_comment)"
"570","MC_line_count"
"571","total_operands"
"572","(1/data$flow_graph)*(data$line_comment)+(data$line_code)"
"573","(1/data$flow_graph)*(data$line_blank)+(data$line_comment)"
"574","_baseline_"
"575","(1/data$flow_graph)*(data$unique_operands)-(data$total_operators)"
"576","MC_line_count"
"577","(1/data$flow_graph)*(data$total_operators)-(data$unique_operators)"
"578","(1/data$flow_graph)*(data$total_operators)-(data$unique_operands)"
"579","MC_line_count"
"580","_baseline_"
"581","line_blank"
"582","MC_design"
"583","unique_operands"
"584","source.4"
"585","(1/data$flow_graph)+(data$line_code)*(data$unique_operators)"
"586","MC_line_count"
"587","total_operators"
"588","total_operands"
"589","(1/data$flow_graph)+(data$line_code)*(data$unique_operands)"
"590","(1/data$flow_graph)+(data$line_comment)*(data$unique_operands)"
"591","(1/data$flow_graph)+(data$unique_operators)*(data$total_operands)"
"592","(1/data$flow_graph)+(data$line_comment)+(data$unique_operands)"
"593","(1/data$flow_graph)+(data$line_code)-(data$unique_operands)"
"594","MC_line_count"
"595","MC_cyclomatic"
"596","(1/data$flow_graph)+(data$line_comment)+(data$total_operands)"
"597","(1/data$flow_graph)+(data$line_code)-(data$line_blank)"
"598","MC_design"
"599","(1/data$flow_graph)+(data$line_code)+(data$line_comment)"
"600","(1/data$flow_graph)+(data$line_code)-(data$total_operands)"
"601","_full_model_"
"602","_baseline_"
"603","(1/data$flow_graph)+(data$total_operands)-(data$line_code)"
"604","(1/data$flow_graph)+(data$unique_operators)-(data$line_code)"
"605","(1/data$flow_graph)-(data$line_blank)*(data$unique_operators)"
"606","MC_line_count"
"607","(1/data$flow_graph)+(data$unique_operands)-(data$unique_operators)"
"608","(1/data$flow_graph)-(data$line_blank)*(data$unique_operands)"
"609","(1/data$flow_graph)+(data$line_blank)-(data$unique_operands)"
"610","(1/data$flow_graph)-(data$line_blank)*(data$total_operands)"
"611","MC_design"
"612","(1/data$flow_graph)-(data$total_operands)+(data$line_code)"
"613","(1/data$flow_graph)-(data$unique_operators)+(data$unique_operands)"
"614","(1/data$flow_graph)-(data$line_comment)+(data$total_operands)"
"615","(1/data$flow_graph)-(data$line_code_and_comment)+(data$total_operators)"
"616","source.2"
"617","(1/data$flow_graph)-(data$line_comment)+(data$line_code)"
"618","(1/data$flow_graph)-(data$line_comment)+(data$line_blank)"
"619","(1/data$flow_graph)-(data$line_comment)+(data$unique_operators)"
"620","(1/data$flow_graph)-(data$unique_operators)+(data$total_operators)"
"621","_baseline_"
"622","MC_line_count"
"623","(1/data$flow_graph)-(data$line_comment)-(data$total_operators)"
"624","(1/data$flow_graph)-(data$line_comment)-(data$unique_operands)"
"625","(1/data$flow_graph)-(data$line_comment)-(data$total_operands)"
"626","(1/data$flow_graph)-(data$line_code_and_comment)-(data$total_operands)"
"627","(1/data$flow_graph)-(data$unique_operators)-(data$total_operands)"
"628","MC_line_count"
"629","unique_operands"
"630","unique_operators"
"631","MC_design"
"632","sqrt(data$unique_operators)*(1/data$flow_graph)*(data$unique_operands)"
"633","_baseline_"
"634","sqrt(data$line_code)*(1/data$flow_graph)*(data$total_operands)"
"635","sqrt(data$line_blank)*(1/data$flow_graph)*(data$unique_operands)"
"636","sqrt(data$unique_operands)*(1/data$flow_graph)*(data$total_operators)"
"637","sqrt(data$line_code)*(1/data$flow_graph)*(data$line_blank)"
"638","_baseline_"
"639","sqrt(data$line_blank)*(1/data$flow_graph)-(data$total_operators)"
"640","sqrt(data$total_operators)*(1/data$flow_graph)-(data$total_operands)"
"641","MC_line_count"
"642","sqrt(data$line_code)*(1/data$flow_graph)+(data$line_comment)"
"643","sqrt(data$total_operators)*(1/data$flow_graph)-(data$unique_operators)"
"644","MC_line_count"
"645","MC_design"
"646","_baseline_"
"647","sqrt(data$total_operators)/(1/data$unique_operators)*(data$total_operands)"
"648","sqrt(data$total_operators)/(1/data$unique_operators)*(data$flow_graph)"
"649","sqrt(data$unique_operators)/(1/data$unique_operands)*(data$flow_graph)"
"650","sqrt(data$unique_operands)/(1/data$line_code)*(data$line_blank)"
"651","sqrt(data$unique_operands)/(1/data$line_code)-(data$total_operators)"
"652","sqrt(data$unique_operands)/(1/data$line_blank)-(data$line_comment)"
"653","sqrt(data$line_blank)/(1/data$unique_operators)+(data$line_comment)"
"654","_baseline_"
"655","sqrt(data$line_code_and_comment)/(1/data$unique_operators)-(data$total_operators)"
"656","sqrt(data$line_blank)/(1/data$line_code)-(data$total_operands)"
"657","sqrt(data$unique_operators)/(1/data$line_blank)-(data$line_comment)"
"658","sqrt(data$line_code)/(1/data$line_blank)+(data$unique_operands)"
"659","sqrt(data$line_blank)/(1/data$total_operands)+(data$line_code)"
"660","sqrt(data$line_comment)/(1/data$flow_graph)-(data$line_code)"
"661","MC_line_count"
"662","_baseline_"
"663","sqrt(data$line_code)+(1/data$flow_graph)*(data$line_comment)"
"664","sqrt(data$line_code)+(1/data$flow_graph)*(data$unique_operands)"
"665","sqrt(data$unique_operands)+(1/data$flow_graph)*(data$line_blank)"
"666","sqrt(data$unique_operands)+(1/data$flow_graph)+(data$line_blank)"
"667","_baseline_"
"668","sqrt(data$line_blank)+(1/data$flow_graph)-(data$unique_operators)"
"669","source.2"
"670","sqrt(data$unique_operators)+(1/data$flow_graph)+(data$line_code_and_comment)"
"671","sqrt(data$total_operators)+(1/data$flow_graph)+(data$line_comment)"
"672","sqrt(data$line_code_and_comment)+(1/data$flow_graph)+(data$line_code)"
"673","sqrt(data$unique_operators)+(1/data$flow_graph)-(data$line_code_and_comment)"
"674","sqrt(data$line_comment)+(1/data$flow_graph)+(data$total_operands)"
"675","MC_line_count"
"676","sqrt(data$line_code)-(1/data$flow_graph)*(data$unique_operators)"
"677","sqrt(data$line_comment)-(1/data$flow_graph)*(data$total_operators)"
"678","sqrt(data$unique_operands)-(1/data$flow_graph)*(data$line_comment)"
"679","sqrt(data$total_operators)-(1/data$flow_graph)*(data$line_comment)"
"680","sqrt(data$line_code)-(1/data$flow_graph)*(data$line_blank)"
"681","sqrt(data$total_operands)-(1/data$flow_graph)*(data$line_code)"
"682","_full_model_"
"683","MC_cyclomatic"
"684","MC_line_count"
"685","_baseline_"
"686","line_comment"
"687","sqrt(data$line_code)-(1/data$flow_graph)-(data$line_code_and_comment)"
"688","sqrt(data$line_code)-(1/data$flow_graph)+(data$line_blank)"
"689","sqrt(data$line_comment)-(1/data$flow_graph)+(data$total_operators)"
"690","sqrt(data$unique_operands)-(1/data$flow_graph)-(data$total_operands)"
"691","_full_model_"
"692","_baseline_"
"693","source.4"
"694","source.2"
"695","sqrt(data$total_operands)-(1/data$flow_graph)-(data$unique_operators)"
"696","_full_model_"
"697","MC_cyclomatic"
"698","MC_essential"
"699","line_code"
"700","line_comment"
"701","line_blank"
"702","_baseline_"
"703","MC_line_count"
"704","unique_operands"
"705","sqrt(data$total_operators)*(data$unique_operators)/(1/data$total_operands)"
"706","sqrt(data$line_blank)*(data$line_comment)/(1/data$unique_operators)"
"707","sqrt(data$line_code)*(data$unique_operators)/(1/data$unique_operands)"
"708","_baseline_"
