"MC_line_count","MC_cyclomatic","MC_essential","MC_design","line_code","line_comment","line_blank","line_code_and_comment","unique_operators","unique_operands","total_operators","total_operands","flow_graph","TARGET","source.1","source.2","source.3","source.4","source.5"
113,27,20,16,97,0,9,5,25,57,256,189,53,"1",1,0,0,0,0
8,1,1,1,4,0,2,0,5,6,8,7,1,"1",1,0,0,0,0
8,1,1,1,4,0,2,0,5,5,8,6,1,"1",1,0,0,0,0
9,2,1,1,6,0,1,0,7,6,10,7,3,"1",1,0,0,0,0
179,36,27,35,0,0,0,0,0,0,0,0,71,"1",1,0,0,0,0
171,16,1,16,115,8,24,22,19,76,370,274,31,"1",1,0,0,0,0
77,15,11,15,62,4,9,0,16,51,158,115,29,"1",1,0,0,0,0
8,1,1,1,4,0,2,0,5,6,8,7,1,"1",1,0,0,0,0
12,4,1,1,8,0,2,0,12,12,24,16,7,"1",1,0,0,0,0
42,9,1,4,28,6,6,0,17,30,116,74,27,"1",1,0,0,0,0
14,1,1,1,12,0,0,0,4,17,40,39,1,"1",1,0,0,0,0
19,5,1,1,15,0,2,0,12,8,34,28,9,"1",1,0,0,0,0
88,8,1,7,52,19,12,3,21,24,174,76,15,"1",1,0,0,0,0
13,2,1,2,10,0,1,0,7,19,27,23,3,"1",1,0,0,0,0
46,4,1,4,28,1,14,0,13,18,47,33,7,"1",1,0,0,0,0
129,30,18,25,111,1,14,1,34,52,260,142,58,"1",1,0,0,0,0
20,1,1,1,0,0,0,0,0,0,0,0,1,"1",1,0,0,0,0
22,1,1,1,16,0,4,0,10,17,66,41,1,"1",1,0,0,0,0
32,2,1,2,23,3,4,0,11,32,86,71,3,"1",1,0,0,0,0
13,1,1,1,9,0,2,0,9,5,29,16,1,"1",1,0,0,0,0
12,3,1,2,9,0,1,0,10,6,12,10,5,"1",1,0,0,0,0
6,1,1,1,3,0,1,0,5,4,6,5,1,"1",1,0,0,0,0
17,3,1,1,13,1,1,0,8,7,15,13,5,"1",1,0,0,0,0
5,1,1,1,3,0,0,0,7,5,9,6,1,"1",1,0,0,0,0
227,55,22,26,0,0,0,0,0,0,0,0,109,"1",1,0,0,0,0
68,5,1,4,53,1,8,0,15,32,167,140,9,"1",1,0,0,0,0
37,4,1,4,23,6,6,0,14,20,44,29,7,"1",1,0,0,0,0
106,12,5,9,76,17,10,1,25,44,165,123,22,"1",1,0,0,0,0
18,1,1,1,14,0,2,0,6,10,7,11,1,"1",1,0,0,0,0
100,11,1,7,64,17,17,0,20,40,164,113,21,"1",1,0,0,0,0
99,14,5,11,85,4,10,0,27,64,153,124,24,"1",1,0,0,0,0
53,6,1,3,37,2,10,2,19,22,106,70,11,"1",1,0,0,0,0
4,1,1,1,2,0,0,0,4,4,6,4,1,"1",1,0,0,0,0
4,1,1,1,2,0,0,0,4,4,6,4,1,"1",1,0,0,0,0
4,1,1,1,2,0,0,0,4,4,6,4,1,"1",1,0,0,0,0
4,1,1,1,2,0,0,0,4,4,6,4,1,"1",1,0,0,0,0
4,1,1,1,2,0,0,0,4,4,6,4,1,"1",1,0,0,0,0
50,5,5,3,0,0,0,0,0,0,0,0,9,"1",1,0,0,0,0
14,3,1,1,7,2,3,0,10,5,13,8,5,"1",1,0,0,0,0
11,2,1,1,8,0,1,0,10,6,19,11,3,"1",1,0,0,0,0
174,15,11,7,107,28,37,0,21,86,246,202,29,"1",1,0,0,0,0
33,4,1,3,29,0,2,0,10,21,53,45,7,"1",1,0,0,0,0
4,1,1,1,2,0,0,0,5,3,5,3,1,"1",1,0,0,0,0
13,2,1,2,9,0,2,0,6,10,33,26,3,"1",1,0,0,0,0
135,11,1,9,92,14,24,3,18,78,191,161,21,"1",1,0,0,0,0
49,6,3,5,38,0,9,0,22,25,83,54,11,"1",1,0,0,0,0
45,6,1,3,40,1,2,0,17,32,123,103,11,"1",1,0,0,0,0
65,4,4,1,0,0,0,0,0,0,0,0,7,"1",1,0,0,0,0
40,5,3,5,32,0,5,0,22,24,80,51,9,"1",1,0,0,0,0
59,7,5,7,34,13,8,2,19,29,132,63,13,"1",1,0,0,0,0
31,4,3,4,23,0,6,0,21,21,66,41,7,"1",1,0,0,0,0
45,9,9,5,36,4,5,0,20,29,111,84,17,"1",1,0,0,0,0
31,6,1,3,21,3,5,0,16,14,43,26,11,"1",1,0,0,0,0
28,2,1,2,17,8,1,0,12,11,47,28,3,"1",1,0,0,0,0
49,3,1,3,33,2,4,8,17,22,67,54,5,"1",1,0,0,0,0
30,5,3,4,21,1,5,1,22,22,58,42,9,"1",1,0,0,0,0
146,15,9,9,93,23,13,12,27,51,260,163,29,"1",1,0,0,0,0
127,16,10,9,105,3,11,8,28,68,258,204,31,"1",1,0,0,0,0
85,18,11,1,68,3,11,0,24,38,211,139,35,"1",1,0,0,0,0
28,5,3,4,21,0,5,0,21,21,58,40,9,"1",1,0,0,0,0
21,4,3,3,0,0,0,0,0,0,0,0,7,"1",1,0,0,0,0
127,23,21,8,88,31,8,0,30,57,184,139,45,"1",1,0,0,0,0
45,12,1,6,34,1,8,0,16,18,96,64,23,"1",1,0,0,0,0
31,3,1,2,24,0,5,0,12,21,49,38,5,"1",1,0,0,0,0
11,3,1,2,9,0,0,0,11,8,22,17,5,"1",1,0,0,0,0
28,6,6,4,0,0,0,0,0,0,0,0,11,"1",1,0,0,0,0
61,8,1,3,27,24,8,0,15,11,63,36,15,"1",1,0,0,0,0
12,2,1,1,7,0,3,0,7,6,9,7,3,"1",1,0,0,0,0
20,6,6,2,0,0,0,0,0,0,0,0,11,"1",1,0,0,0,0
28,3,1,2,20,0,6,0,14,25,51,44,5,"1",1,0,0,0,0
55,4,1,4,19,3,31,0,16,7,45,28,7,"1",1,0,0,0,0
38,6,1,3,12,2,19,3,14,9,45,30,11,"1",1,0,0,0,0
14,10,7,6,12,0,0,0,12,5,61,36,19,"1",1,0,0,0,0
142,11,1,3,38,72,26,4,20,14,76,52,21,"1",1,0,0,0,0
29,3,1,2,21,0,6,0,14,25,51,44,5,"1",1,0,0,0,0
15,2,1,2,7,4,2,0,7,6,10,9,3,"1",1,0,0,0,0
54,5,1,4,33,5,14,0,18,13,68,48,9,"1",1,0,0,0,0
105,6,1,4,0,0,0,0,0,0,0,0,11,"1",1,0,0,0,0
29,3,3,2,13,9,5,0,9,15,29,23,5,"1",1,0,0,0,0
15,3,1,1,0,0,0,0,0,0,0,0,5,"1",1,0,0,0,0
24,4,4,2,14,5,2,0,9,16,28,20,7,"1",1,0,0,0,0
25,4,4,2,15,5,2,0,9,17,29,21,7,"1",1,0,0,0,0
88,14,1,14,79,0,2,0,26,42,201,163,15,"1",1,0,0,0,0
116,13,7,12,100,5,11,0,26,67,174,118,23,"1",1,0,0,0,0
71,5,1,4,57,1,11,0,15,49,118,105,9,"1",1,0,0,0,0
49,4,3,3,38,0,9,0,10,10,26,17,5,"1",1,0,0,0,0
87,10,5,4,0,0,0,0,0,0,0,0,18,"1",1,0,0,0,0
19,2,1,2,9,1,4,0,10,11,24,19,3,"1",1,0,0,0,0
99,9,1,7,67,14,12,2,24,43,156,104,15,"1",1,0,0,0,0
84,8,5,5,54,14,11,2,23,34,125,80,14,"1",1,0,0,0,0
77,10,1,10,48,19,8,0,16,27,165,104,19,"1",1,0,0,0,0
139,20,8,3,68,35,26,6,28,32,202,147,39,"1",1,0,0,0,0
37,5,1,1,26,2,6,1,12,21,78,65,9,"1",1,0,0,0,0
29,3,1,3,16,4,6,1,13,19,63,34,5,"1",1,0,0,0,0
20,3,1,3,14,0,4,0,12,9,27,14,5,"1",1,0,0,0,0
31,3,1,3,18,4,6,1,13,21,67,38,5,"1",1,0,0,0,0
34,5,1,1,14,3,13,2,13,13,47,44,9,"1",1,0,0,0,0
62,6,4,5,47,4,9,0,17,33,98,71,11,"1",1,0,0,0,0
132,31,23,12,79,43,8,0,27,45,925,304,61,"1",1,0,0,0,0
18,4,1,3,0,0,0,0,0,0,0,0,7,"1",1,0,0,0,0
68,4,3,4,38,15,13,0,13,42,73,64,7,"1",1,0,0,0,0
4,1,1,1,2,0,0,0,4,3,4,3,1,"1",1,0,0,0,0
22,1,1,1,3,5,6,4,7,10,15,12,1,"1",1,0,0,0,0
10,2,1,1,7,0,1,0,9,6,14,6,3,"1",1,0,0,0,0
76,8,6,7,55,7,8,4,15,24,85,64,14,"1",1,0,0,0,0
20,2,1,2,14,0,4,0,12,24,47,37,3,"1",1,0,0,0,0
20,2,1,2,14,0,4,0,12,23,47,37,3,"1",1,0,0,0,0
31,6,1,2,13,4,7,5,15,11,46,30,11,"1",1,0,0,0,0
89,21,4,5,68,0,19,0,23,19,122,57,34,"1",1,0,0,0,0
81,9,5,4,48,14,16,1,25,32,119,79,17,"1",1,0,0,0,0
30,2,1,2,24,1,2,1,15,18,54,32,3,"1",1,0,0,0,0
47,11,4,6,37,0,8,0,23,20,89,54,20,"1",1,0,0,0,0
191,27,18,23,148,32,8,0,22,47,324,257,53,"1",1,0,0,0,0
36,7,1,4,20,6,6,0,18,15,46,26,13,"1",1,0,0,0,0
43,12,6,5,33,0,8,0,17,14,46,24,20,"1",1,0,0,0,0
219,31,14,7,0,0,0,0,0,0,0,0,61,"1",1,0,0,0,0
8,1,1,1,4,0,1,0,8,5,11,6,1,"1",1,0,0,0,0
14,3,1,2,8,0,4,0,13,17,33,23,5,"1",1,0,0,0,0
24,2,1,2,17,0,5,0,15,9,55,22,3,"1",1,0,0,0,0
24,2,1,2,17,0,5,0,16,10,61,28,3,"1",1,0,0,0,0
26,2,1,2,19,0,5,0,14,11,61,28,3,"1",1,0,0,0,0
70,5,1,1,0,0,0,0,0,0,0,0,9,"1",1,0,0,0,0
24,4,1,2,0,0,0,0,0,0,0,0,7,"1",1,0,0,0,0
25,4,3,3,19,0,4,0,19,19,72,39,7,"1",1,0,0,0,0
36,2,1,2,24,1,9,0,16,21,51,35,3,"1",1,0,0,0,0
29,4,1,3,19,5,3,0,15,26,57,43,7,"1",1,0,0,0,0
28,7,1,4,18,5,3,0,13,18,36,26,13,"1",1,0,0,0,0
6,1,1,1,3,0,1,0,4,6,7,6,1,"1",1,0,0,0,0
40,5,1,5,29,4,5,0,20,22,88,44,9,"1",1,0,0,0,0
45,8,4,6,39,0,4,0,16,12,88,41,15,"1",1,0,0,0,0
45,7,1,6,38,0,5,0,16,12,84,37,13,"1",1,0,0,0,0
4,1,1,1,2,0,0,0,4,3,4,3,1,"1",1,0,0,0,0
160,18,8,6,64,18,73,3,22,18,132,84,35,"1",1,0,0,0,0
27,4,3,2,18,0,7,0,16,15,49,33,7,"1",1,0,0,0,0
121,22,1,13,102,5,5,7,15,48,192,153,43,"1",1,0,0,0,0
12,2,1,1,7,0,3,0,8,5,10,7,3,"1",1,0,0,0,0
26,2,1,2,6,1,11,0,6,7,13,9,3,"1",1,0,0,0,0
25,6,6,3,0,0,0,0,0,0,0,0,11,"1",1,0,0,0,0
34,9,9,7,20,5,4,0,15,15,76,34,17,"1",1,0,0,0,0
33,9,9,7,25,1,3,0,20,18,63,40,17,"1",1,0,0,0,0
145,10,4,6,89,37,17,0,26,45,239,143,19,"1",1,0,0,0,0
5,1,1,1,2,0,0,0,4,3,4,3,1,"1",1,0,0,0,0
28,7,5,4,16,4,2,0,17,12,35,19,13,"1",1,0,0,0,0
46,8,3,5,29,5,5,5,21,20,70,38,15,"1",1,0,0,0,0
41,10,10,4,32,0,5,0,22,18,73,47,19,"1",1,0,0,0,0
85,18,14,17,71,2,9,0,23,36,148,90,35,"1",1,0,0,0,0
60,16,7,6,43,1,11,3,23,17,122,71,31,"1",1,0,0,0,0
31,7,5,5,28,0,1,0,22,22,68,45,13,"1",1,0,0,0,0
39,8,6,6,34,0,3,0,23,23,77,52,15,"1",1,0,0,0,0
27,6,4,4,23,0,2,0,20,19,58,36,11,"1",1,0,0,0,0
62,16,13,7,48,0,6,5,21,23,139,87,31,"1",1,0,0,0,0
138,35,21,17,115,0,21,0,26,46,210,147,51,"1",1,0,0,0,0
30,8,7,4,0,0,0,0,0,0,0,0,15,"1",1,0,0,0,0
34,9,1,6,0,0,0,0,0,0,0,0,17,"1",1,0,0,0,0
13,4,4,2,0,0,0,0,0,0,0,0,7,"1",1,0,0,0,0
26,34,34,1,20,2,2,0,14,7,229,104,67,"1",1,0,0,0,0
43,11,1,10,30,0,10,0,11,34,145,90,21,"1",1,0,0,0,0
67,11,10,8,0,0,0,0,0,0,0,0,21,"1",1,0,0,0,0
14,4,1,4,0,0,0,0,0,0,0,0,7,"1",1,0,0,0,0
17,5,4,2,14,0,1,0,14,14,29,18,9,"1",1,0,0,0,0
31,4,3,2,14,8,7,0,12,12,23,18,7,"1",1,0,0,0,0
42,7,4,4,28,1,6,5,18,18,49,35,13,"1",1,0,0,0,0
19,2,1,2,14,0,3,0,12,9,24,15,3,"1",1,0,0,0,0
20,3,1,2,13,0,5,0,11,19,41,27,5,"1",1,0,0,0,0
13,5,5,3,10,0,1,0,15,9,32,19,9,"1",1,0,0,0,0
14,3,1,2,10,1,1,0,9,5,15,7,5,"1",1,0,0,0,0
20,4,1,4,16,0,2,0,12,9,28,23,7,"1",1,0,0,0,0
130,25,11,9,105,3,20,0,24,48,258,198,49,"1",1,0,0,0,0
37,6,6,4,29,0,3,2,15,14,39,26,11,"1",1,0,0,0,0
24,8,7,5,16,6,2,0,15,17,42,30,15,"1",1,0,0,0,0
89,9,6,4,64,12,13,0,25,35,123,93,17,"1",1,0,0,0,0
28,9,8,3,23,0,3,0,24,17,82,43,17,"1",1,0,0,0,0
91,11,11,9,61,13,15,0,19,42,149,96,21,"1",1,0,0,0,0
42,6,5,5,39,0,1,0,12,36,65,52,11,"1",1,0,0,0,0
74,8,3,6,65,0,5,1,23,26,166,133,11,"1",1,0,0,0,0
33,4,4,3,23,3,5,0,16,16,39,28,7,"1",1,0,0,0,0
96,11,4,9,75,4,13,2,18,36,141,91,21,"1",1,0,0,0,0
6,1,1,1,4,0,0,0,3,3,7,3,1,"1",1,0,0,0,0
9,3,3,2,6,0,1,0,11,7,14,9,5,"1",1,0,0,0,0
21,7,7,3,18,0,1,0,11,15,48,38,13,"1",1,0,0,0,0
113,19,1,10,99,0,12,0,16,33,268,163,37,"1",1,0,0,0,0
5,1,1,1,3,0,0,0,5,4,7,4,1,"1",1,0,0,0,0
7,2,1,2,5,0,0,0,7,4,9,5,3,"1",1,0,0,0,0
43,4,1,3,30,0,11,0,15,21,87,50,7,"1",1,0,0,0,0
63,12,1,8,50,5,5,1,21,33,98,62,19,"1",1,0,0,0,0
8,1,1,1,5,0,1,0,5,8,9,9,1,"1",1,0,0,0,0
8,1,1,1,4,0,2,0,4,6,8,6,1,"1",1,0,0,0,0
8,1,1,1,4,0,2,0,4,6,8,6,1,"1",1,0,0,0,0
573,38,17,19,0,0,0,0,0,0,0,0,75,"1",1,0,0,0,0
104,13,5,10,77,7,9,6,25,23,202,107,25,"1",1,0,0,0,0
77,8,5,5,60,3,7,2,24,19,175,89,15,"1",1,0,0,0,0
39,4,1,4,28,0,8,0,13,23,64,48,7,"1",1,0,0,0,0
30,4,3,2,19,1,4,3,26,18,72,36,7,"1",1,0,0,0,0
79,7,1,6,35,18,16,7,13,26,86,60,13,"1",1,0,0,0,0
240,40,6,34,144,55,31,8,38,87,683,415,74,"1",1,0,0,0,0
86,12,1,2,70,0,14,0,24,32,87,49,13,"1",1,0,0,0,0
82,15,1,14,63,0,17,0,9,33,105,87,29,"1",1,0,0,0,0
101,22,19,7,66,19,14,0,22,24,186,118,43,"1",1,0,0,0,0
55,12,12,3,42,1,10,0,27,34,117,86,23,"1",1,0,0,0,0
41,5,1,3,0,0,0,0,0,0,0,0,9,"1",1,0,0,0,0
35,12,5,2,0,0,0,0,0,0,0,0,23,"1",1,0,0,0,0
8,1,1,1,4,0,2,0,5,4,6,5,1,"1",1,0,0,0,0
200,25,20,11,0,0,0,0,0,0,0,0,49,"1",1,0,0,0,0
27,2,1,1,20,1,4,0,10,16,33,28,3,"1",1,0,0,0,0
32,3,1,2,24,0,6,0,17,22,44,29,4,"1",1,0,0,0,0
41,7,6,2,0,0,0,0,0,0,0,0,13,"1",1,0,0,0,0
165,16,11,11,0,0,0,0,0,0,0,0,31,"1",1,0,0,0,0
23,4,1,3,18,0,2,0,15,13,32,21,7,"1",1,0,0,0,0
16,3,3,2,12,0,2,0,16,11,26,16,5,"1",1,0,0,0,0
54,7,1,7,48,0,4,0,12,15,94,68,13,"1",1,0,0,0,0
31,1,1,1,0,0,0,0,0,0,0,0,1,"1",1,0,0,0,0
15,1,1,1,9,0,4,0,9,12,41,25,1,"1",1,0,0,0,0
7,1,1,1,5,0,0,0,7,4,18,8,1,"1",1,0,0,0,0
31,12,7,2,0,0,0,0,0,0,0,0,23,"1",1,0,0,0,0
81,24,18,2,77,0,2,0,22,21,137,94,47,"1",1,0,0,0,0
27,8,7,3,19,0,6,0,17,12,45,26,15,"1",1,0,0,0,0
164,5,1,5,145,1,16,0,15,76,455,379,9,"1",1,0,0,0,0
116,2,1,1,91,0,23,0,16,101,261,225,3,"1",1,0,0,0,0
56,5,1,5,45,0,9,0,16,43,135,108,9,"1",1,0,0,0,0
60,8,5,3,45,5,8,0,23,24,89,67,15,"1",1,0,0,0,0
36,4,1,2,0,0,0,0,0,0,0,0,7,"1",1,0,0,0,0
7,1,1,1,0,0,0,0,0,0,0,0,1,"1",1,0,0,0,0
184,9,7,1,140,13,29,0,19,87,364,329,17,"1",1,0,0,0,0
469,2,1,2,283,130,47,7,16,104,616,570,3,"1",1,0,0,0,0
242,3,3,3,169,19,52,0,18,165,691,546,5,"1",1,0,0,0,0
96,1,1,1,68,12,14,0,10,56,258,210,1,"1",1,0,0,0,0
463,94,52,68,393,34,34,0,26,126,1060,696,187,"1",1,0,0,0,0
169,5,1,5,151,1,15,0,15,75,459,383,9,"1",1,0,0,0,0
221,1,1,1,170,2,47,0,11,112,792,604,1,"1",1,0,0,0,0
95,22,19,16,0,0,0,0,0,0,0,0,45,"1",1,0,0,0,0
85,4,1,3,68,0,15,0,14,20,186,131,7,"1",1,0,0,0,0
113,1,1,1,95,0,16,0,8,59,294,271,1,"1",1,0,0,0,0
91,2,1,2,46,19,24,0,14,62,133,127,3,"1",1,0,0,0,0
22,3,1,3,16,0,4,0,12,21,33,28,5,"1",1,0,0,0,0
57,7,5,3,40,6,8,1,25,25,99,73,13,"1",1,0,0,0,0
22,2,1,2,16,0,4,0,11,17,36,30,3,"1",1,0,0,0,0
22,2,1,2,16,0,4,0,11,18,36,30,3,"1",1,0,0,0,0
163,5,1,5,145,1,15,0,15,77,458,382,9,"1",1,0,0,0,0
166,1,1,1,145,1,18,0,5,32,71,70,1,"1",1,0,0,0,0
15,1,1,1,11,0,2,0,6,13,17,15,1,"1",1,0,0,0,0
41,5,3,3,32,1,6,0,13,29,61,49,9,"1",1,0,0,0,0
61,26,24,8,41,8,10,0,23,43,177,120,51,"1",1,0,0,0,0
56,6,5,2,38,5,11,0,24,23,90,64,11,"1",1,0,0,0,0
55,6,1,6,38,9,6,0,14,17,89,64,11,"1",1,0,0,0,0
415,9,1,8,384,2,27,0,19,162,1118,939,17,"1",1,0,0,0,0
43,2,1,2,25,1,9,6,9,31,71,67,3,"1",1,0,0,0,0
21,6,4,3,0,0,0,0,0,0,0,0,11,"1",1,0,0,0,0
50,6,1,6,0,0,0,0,0,0,0,0,11,"1",1,0,0,0,0
163,5,1,5,145,1,15,0,15,75,459,383,9,"1",1,0,0,0,0
168,5,1,5,151,1,14,0,15,76,464,388,9,"1",1,0,0,0,0
324,6,1,6,287,1,33,1,17,138,820,720,11,"1",1,0,0,0,0
169,5,1,5,148,1,18,0,15,76,459,383,9,"1",1,0,0,0,0
139,5,1,5,98,1,38,0,15,80,491,406,9,"1",1,0,0,0,0
455,23,1,11,359,17,76,1,26,160,966,834,45,"1",1,0,0,0,0
66,3,1,3,61,1,2,0,10,58,126,87,5,"1",1,0,0,0,0
106,3,1,3,93,2,9,0,14,69,225,197,5,"1",1,0,0,0,0
123,2,1,2,105,1,15,0,20,87,373,288,3,"1",1,0,0,0,0
124,7,1,3,112,0,10,0,15,60,350,293,13,"1",1,0,0,0,0
163,5,1,5,147,1,13,0,15,77,458,382,9,"1",1,0,0,0,0
77,1,1,1,67,0,8,0,8,67,190,175,1,"1",1,0,0,0,0
26,2,1,2,14,7,3,0,8,10,23,17,3,"1",1,0,0,0,0
65,7,1,4,31,18,14,0,22,25,105,65,13,"1",1,0,0,0,0
52,6,5,2,34,7,9,0,21,20,69,48,11,"1",1,0,0,0,0
24,4,1,2,0,0,0,0,0,0,0,0,7,"1",1,0,0,0,0
53,10,6,6,30,4,9,7,14,22,72,55,19,"1",1,0,0,0,0
24,5,4,4,12,0,6,3,11,17,38,30,9,"1",1,0,0,0,0
17,2,1,2,9,3,2,0,8,11,16,13,3,"1",1,0,0,0,0
45,1,1,1,28,5,10,0,13,32,85,55,1,"1",1,0,0,0,0
38,3,3,2,25,1,10,0,15,34,80,59,5,"1",1,0,0,0,0
57,3,3,2,0,0,0,0,0,0,0,0,5,"1",1,0,0,0,0
152,3,1,3,80,40,20,1,18,70,263,171,5,"1",1,0,0,0,0
34,7,4,5,21,2,6,3,13,19,49,37,13,"1",1,0,0,0,0
14,1,1,1,0,0,0,0,0,0,0,0,1,"1",1,0,0,0,0
55,4,1,2,34,5,5,8,14,22,87,81,7,"1",1,0,0,0,0
42,5,1,3,26,6,8,0,15,17,62,45,9,"1",1,0,0,0,0
35,4,3,2,23,3,6,1,12,15,37,25,7,"1",1,0,0,0,0
36,4,1,4,25,6,3,0,14,13,56,38,7,"1",1,0,0,0,0
117,18,10,13,77,12,10,16,24,42,173,123,35,"1",1,0,0,0,0
13,3,1,3,5,0,2,4,9,6,19,11,5,"1",1,0,0,0,0
4,1,1,1,2,0,0,0,6,1,6,1,1,"1",1,0,0,0,0
30,4,3,3,21,0,7,0,18,21,89,48,7,"1",1,0,0,0,0
17,2,1,2,9,3,3,0,8,10,15,12,3,"1",1,0,0,0,0
19,3,1,2,9,3,4,0,11,11,20,15,5,"1",1,0,0,0,0
13,3,3,2,6,0,5,0,13,14,26,20,5,"1",1,0,0,0,0
6,1,1,1,3,0,1,0,5,5,8,6,1,"1",1,0,0,0,0
8,1,1,1,0,0,0,0,0,0,0,0,1,"1",1,0,0,0,0
11,1,1,1,6,0,3,0,12,5,17,8,1,"1",1,0,0,0,0
18,2,1,2,9,3,4,0,9,10,16,12,3,"1",1,0,0,0,0
67,11,1,11,46,6,13,0,22,24,128,83,15,"1",1,0,0,0,0
4,1,1,1,2,0,0,0,5,2,5,3,1,"1",1,0,0,0,0
70,9,5,8,54,7,7,0,19,22,128,88,16,"1",1,0,0,0,0
32,5,1,4,25,0,5,0,10,14,35,31,9,"1",1,0,0,0,0
20,5,4,4,15,0,3,0,8,11,22,19,9,"1",1,0,0,0,0
14,4,4,4,11,0,0,0,9,8,19,13,7,"1",1,0,0,0,0
70,7,4,6,52,5,11,0,26,33,101,81,13,"1",1,0,0,0,0
